sex,age,pyld_rate,mx,qx,lx,dx,Lx,ex,Lwx,ewx
female,31,0.122761278,3.0004500900199e-4,2.9999999999996696e-4,99700.41726265085,29.91012517879196,99685.46220006145,55.486252255481645,87447.9474623612,46.32947394253593
female,32,0.123447548,3.4005781310468e-4,3.4000000000000696e-4,99670.50713747206,33.88797242674119,99653.56315125868,54.50275308140606,87351.57513077265,45.46600660832672
female,33,0.124393484,3.70068466889e-4,3.6999999999998145e-4,99636.61916504531,36.86554909106492,99618.18639049979,53.52112026229525,87226.33311562413,44.60476879163273
female,34,0.125508969,4.1008407298075e-4,4.1000000000002146e-4,99599.75361595425,40.83589898254338,99579.33566646298,52.54074533807033,87081.23591326029,43.74551010157577
female,35,0.126704663,4.501012803852e-4,4.4999999999995044e-4,99558.9177169717,44.80151297263233,99536.51696048539,51.562090795296406,86924.7761228133,42.8887827421614
female,36,0.127888024,4.8011523687731e-4,4.8000000000003595e-4,99514.11620399907,47.76677577792314,99490.2328161101,50.58507908088279,86766.62353395783,42.03459946637209
female,37,0.128963064,5.2013524688758e-4,5.199999999999649e-4,99466.34942822115,51.72250170267151,99440.48817736981,49.60913146398552,86616.33813636043,41.18246438014881
female,38,0.129914662,5.7016251175736e-4,5.699999999999594e-4,99414.62692651848,56.666337348111504,99386.29375784443,48.63468149836466,86474.55699686136,40.332626879729624
female,39,0.130804453,6.1018612569496e-4,6.099999999999994e-4,99357.96058917037,60.60835595939387,99327.65641119066,47.66213391469604,86335.15664655293,39.485296134847815
female,40,0.131649635,6.7022455030468e-4,6.699999999999484e-4,99297.35223321097,66.52922599624623,99264.08762021284,46.69092037612547,86196.0067164038,38.63993605348227
female,41,0.132467944,7.3026657974337e-4,7.300000000000084e-4,99230.82300721473,72.43850079526759,99194.60375681709,45.72188904178346,86054.49854125685,37.79720071033047
female,42,0.133277603,8.0032017076915e-4,8.000000000000229e-4,99158.38450641946,79.32670760513784,99118.7211526169,44.75492513713357,85908.41558497072,36.95696388716854
female,43,0.134132458,8.8038742730735e-4,8.799999999999919e-4,99079.05779881432,87.1895708629558,99035.46301338283,43.79035742307203,85751.5929302297,36.119483766140256
female,44,0.135020623,9.7047075444585e-4,9.700000000000264e-4,98991.86822795136,96.02211218111543,98943.8571718608,42.82848649118428,85584.39593449314,35.2850480481411
female,45,0.135860498,0.00105055163617913,0.0010499999999999954,98895.84611577024,103.8406384215583,98843.92579655946,41.869584988623245,85414.94081356385,34.45390847736199
female,46,0.136568494,0.00115066175739597,0.0011499999999999844,98792.00547734868,113.61080629894944,98735.20007419921,40.91306871076956,85251.08249527714,33.6255294545278
female,47,0.13705959,0.00124076943613299,0.0012400000000000189,98678.39467104973,122.36120939210352,98617.21406635368,39.9595972476043,85100.77913947702,32.80031478364494
female,48,0.13721886,0.00135091207095624,0.0013499999999999623,98556.03346165763,133.0506451732341,98489.50813907101,39.008587896596076,84974.89011026698,31.97756157304972
female,49,0.13710041,0.00146106683851594,0.0014600000000000168,98422.9828164844,143.69755491206888,98351.13403902836,38.06064476703157,84867.15323831262,31.15742533452082
female,50,0.136873205,0.00159126539149284,0.0015899999999999803,98279.28526157232,156.26406356589806,98201.15322978937,37.11556348972657,84760.046652532,30.339451260061214
female,51,0.136705826,0.00174151555830275,0.0017399999999999638,98123.02119800642,170.7340568845276,98037.65416956416,36.1738749508985,84635.33567721155,29.523953737305554
female,52,0.136766168,0.00189178830361775,0.0018899999999999473,97952.2871411219,185.12982269671522,97859.72222977353,35.236055687795265,84475.823018863,28.711368410270804
female,53,0.137021937,0.00204208363422485,0.0020400000000000418,97767.15731842518,199.44500092959143,97667.43481796037,34.30183114866624,84284.8537173822,27.901684517981028
female,54,0.137361549,0.00220242355520004,0.0021999999999999797,97567.71231749558,214.6489670984883,97460.38783394633,33.37092784146283,84073.0779949347,27.094860207428447
female,55,0.137834796,0.00236278918918848,0.0023600000000000287,97353.06335039709,229.75322950693993,97238.18673564363,32.44340332878616,83835.38110352628,26.291010882666413
female,56,0.138492458,0.00253320585835602,0.0025300000000000322,97123.31012089015,245.7219746058552,97000.44913358722,31.51896809348679,83566.61850597276,25.490019479578937
female,57,0.139386881,0.00270365157431482,0.0027000000000000357,96877.5881462843,261.56948799497104,96746.80340228681,30.597645135680057,83261.56822932187,24.692072688521527
female,58,0.140529962,0.00289418411333609,0.002889999999999948,96616.01865828932,279.2202939224511,96476.4085113281,29.679128783395228,82918.58248933469,23.89714368518217
female,59,0.141893957,0.00310481495347876,0.0030999999999999917,96336.79836436687,298.6440749295365,96187.4763269021,28.763700878935353,82539.05469703414,23.10569102845933
female,60,0.143473842,0.00331549016831908,0.003310000000000035,96038.15428943733,317.8862906980409,95879.2111440883,27.85159081044774,82123.05235331673,22.31810116343262
female,61,0.145265109,0.00353624515125415,0.003530000000000033,95720.26799873929,337.89254603555287,95551.32172572151,26.94242523798547,81671.04856014051,21.534270993211642
female,62,0.147263653,0.00376708656924403,0.0037599999999999856,95382.37545270374,358.6377317021647,95203.05658685265,26.036097662734925,81183.10669710701,20.754307414467323
female,63,0.149554249,0.00403814233309733,0.004029999999999978,95023.73772100157,382.94566301563424,94832.26488949376,25.132475771636276,80649.69673297644,19.9782925919454
female,64,0.152157583,0.00432935816122929,0.0043199999999999905,94640.79205798593,408.84822169049835,94436.36794714068,24.232146321311163,80067.15845300507,19.206964556295535
female,65,0.154969135,0.00467089164989837,0.0046599999999999975,94231.94383629544,439.1208582771365,94012.38340715687,23.335114013850998,79443.36567126142,18.44061694411483
female,66,0.157876937,0.00510299817590334,0.005090000000000039,93792.8229780183,477.40546895811684,93554.12024353925,22.442023844968553,78784.08229575958,17.679943537916976
female,67,0.160760429,0.00562579515156683,0.005610000000000004,93315.4175090602,523.499492225828,93053.66776294727,21.5542801308345,78094.3202133524,16.926117616781728
female,68,0.163622658,0.00621929981391683,0.006199999999999983,92791.91801683436,575.3098917043715,92504.26307098218,20.673061003061676,77368.46967097683,16.18000192356961
