year,sex,ishd,tbalc
2,female,0.982473016,1.016783705
3,female,0.973825061,1.025280899
4,female,0.965253227,1.025280899
5,female,0.956756845,1.025280899
6,female,0.956756845,1.025280899
7,female,0.956756845,1.025280899
8,female,0.956756845,1.025280899
9,female,0.956756845,1.025280899
10,female,0.956756845,1.025280899
11,female,0.956756845,1.025280899
12,female,0.956756845,1.025280899
13,female,0.956756845,1.025280899
14,female,0.956756845,1.025280899
15,female,0.956756845,1.025280899
16,female,0.956756845,1.025280899
17,female,0.956756845,1.025280899
18,female,0.956756845,1.025280899
19,female,0.956756845,1.025280899
20,female,0.956756845,1.025280899
21,female,0.956756845,1.025280899
22,female,0.956756845,1.025280899
23,female,0.956756845,1.025280899
24,female,0.956756845,1.025280899
25,female,0.956756845,1.025280899
26,female,0.956756845,1.025280899
27,female,0.956756845,1.025280899
28,female,0.956756845,1.025280899
29,female,0.956756845,1.025280899
30,female,0.956756845,1.025280899
31,female,0.956756845,1.025280899
32,female,0.956756845,1.025280899
33,female,0.956756845,1.025280899
34,female,0.956756845,1.025280899
35,female,0.956756845,1.025280899
36,female,0.956756845,1.025280899
37,female,0.956756845,1.025280899
38,female,0.956756845,1.025280899
39,female,0.956756845,1.025280899
40,female,0.956756845,1.025280899
41,female,0.956756845,1.025280899
42,female,0.956756845,1.025280899
43,female,0.956756845,1.025280899
44,female,0.956756845,1.025280899
45,female,0.956756845,1.025280899
46,female,0.956756845,1.025280899
47,female,0.956756845,1.025280899
48,female,0.956756845,1.025280899
49,female,0.956756845,1.025280899
50,female,0.956756845,1.025280899
51,female,0.956756845,1.025280899
52,female,0.956756845,1.025280899
53,female,0.956756845,1.025280899
54,female,0.956756845,1.025280899
55,female,0.956756845,1.025280899
56,female,0.956756845,1.025280899
57,female,0.956756845,1.025280899
58,female,0.956756845,1.025280899
59,female,0.956756845,1.025280899
60,female,0.956756845,1.025280899
61,female,0.956756845,1.025280899
62,female,0.956756845,1.025280899
63,female,0.956756845,1.025280899
64,female,0.956756845,1.025280899
65,female,0.956756845,1.025280899
66,female,0.956756845,1.025280899
67,female,0.956756845,1.025280899
68,female,0.956756845,1.025280899
69,female,0.956756845,1.025280899
70,female,0.956756845,1.025280899
71,female,0.956756845,1.025280899
72,female,0.956756845,1.025280899
73,female,0.956756845,1.025280899
74,female,0.956756845,1.025280899
75,female,0.956756845,1.025280899
76,female,0.956756845,1.025280899
77,female,0.956756845,1.025280899
78,female,0.956756845,1.025280899
79,female,0.956756845,1.025280899
80,female,0.956756845,1.025280899
81,female,0.956756845,1.025280899
82,female,0.956756845,1.025280899
83,female,0.956756845,1.025280899
84,female,0.956756845,1.025280899
85,female,0.956756845,1.025280899
86,female,0.956756845,1.025280899
87,female,0.956756845,1.025280899
88,female,0.956756845,1.025280899
89,female,0.956756845,1.025280899
90,female,0.956756845,1.025280899
91,female,0.956756845,1.025280899
92,female,0.956756845,1.025280899
93,female,0.956756845,1.025280899
94,female,0.956756845,1.025280899
95,female,0.956756845,1.025280899
96,female,0.956756845,1.025280899
97,female,0.956756845,1.025280899
98,female,0.956756845,1.025280899
99,female,0.956756845,1.025280899
100,female,0.956756845,1.025280899
